,Player,Age Enter,Max BPM,Age Peaked,Top 3 BPM Avg,College,Draft Pick,Round,Round Bin,Country,League,League Diff,Player Tier,Met Draft Expt
335,Toney Douglas,23,0.4,24,0.0,Florida State,29,1st,15-30,USA,Top D1,2,Role Player,Met
336,Ömer Aşık,24,-0.7,25,-1.1333333333333333,Fenerbahce,36,2nd,31-44,Turkey,Euroleague,1,Replacement Level,Below
337,Paul Zipser,22,-4.4,22,-5.25,Bayern Munich,48,2nd,45-60,Germany,Euroleague,1,Benchwarmer,Below
338,C.J. Watson,23,1.3,28,0.6333333333333334,Tennessee,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
339,Dalen Terry,21,-2.3,21,-3.05,Arizona,18,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
340,Bryce McGowens,20,-4.9,21,-5.45,Nebraska,40,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
341,Tyler Dorsey,21,-2.9,21,-3.2,Oregon,41,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
342,Elie Okobo,21,-1.9,22,-3.8,Elan Bearnais,31,2nd,31-44,France,LNB Pro B,20,Benchwarmer,Bust
343,D.J. Wilson,22,-2.2,22,-3.1666666666666665,Michigan,17,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
344,Isaac Bonga,20,-2.8,20,-4.3,Skyliners Frankfurt,39,2nd,31-44,Germany,Bundesliga,14,Benchwarmer,Bust
345,Duop Reath,27,-0.3,28,-0.6,Louisiana State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
346,Marcus Thornton,22,1.2,27,1.0999999999999999,Louisiana State,43,2nd,31-44,USA,Top D1,2,Role Player,Met
347,Omari Spellman,21,-1.2,21,-1.5,Villanova,30,1st,15-30,USA,Top D1,2,Replacement Level,Below
348,GG Jackson II,19,-2.0,19,-3.65,South Carolina,45,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
349,Cam Whitmore,19,0.3,20,0.2,Villanova,20,1st,15-30,USA,Top D1,2,Role Player,Met
350,Allonzo Trier,23,-0.4,24,-1.75,Arizona,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
351,Saben Lee,21,-0.4,22,-1.4000000000000001,Vanderbilt,38,2nd,31-44,USA,Top D1,2,Replacement Level,Below
352,Trent Forrest,22,-1.0,23,-2.2333333333333334,Florida State,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
353,Chandler Hutchison,22,-2.6,23,-4.033333333333333,Boise State,22,1st,15-30,USA,Other D1,7,Benchwarmer,Bust
354,Chris Bosh,19,4.4,23,4.0,Georgia Tech,4,1st,1-14,USA,Top D1,2,All-Star,Met
355,Bruno Fernando,21,-2.0,24,-2.7999999999999994,Maryland,34,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
356,Kyshawn George,21,-4.1,21,-4.1,Miami,24,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
357,Alex Sarr,19,-3.3,19,-3.3,Perth,2,1st,1-14,Australia,NBL,6,Benchwarmer,Bust
358,Spencer Hawes,19,1.5,23,0.8666666666666667,Washington,10,1st,1-14,USA,Top D1,2,Role Player,Below
359,Harry Giles,20,-1.3,21,-2.4,Duke,20,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
360,Isaiah Collier,20,-5.3,20,-5.3,Southern California,29,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
